;9;10;11;12
BPI-097-CO1;1.367659919;1.367659919;0.358410247;0.081484149
BPI-098-CO1;-0.010315681;-0.010315681;-0.010315681;0.773799394
BPI-099-CO1;-0.03395742;-0.333904997;-0.03395742;-0.195441949
BPI-100-CO1;-0.716672922;-0.716672922;-0.264673473;-0.716672922
BPI-101-CO1;-0.442621752;-0.442621752;0.219947198;-0.472368046
BPI-102-CO1;-1.184146748;-1.184146748;-0.195441949;-0.68006262
BPI-103-CO1;0.427641772;0.358410247;0.081484149;-0.073360317
BPI-104-CO1;2.178233801;2.178233801;2.178233801;2.178233801
BPI-105-CO1;-0.126210424;0.150715674;1.151506883;1.151506883
BPI-106-CO1;0.912262443;2.973797056;2.973797056;2.973797056
BPI-107-CO1;-0.195441949;1.757936232;1.757936232;1.757936232
BPI-108-CO1;-0.333904997;0.427641772;1.119957016;0.773799394
BPI-109-CO1;-0.333904997;0.662160428;0.662160428;0.662160428
BPI-110-CO1;-0.403136522;0.344792877;-0.126210424;0.344792877
BPI-111-CO1;0.472651257;0.472651257;0.081484149;0.081484149
BPI-112-CO1;-0.219713934;-0.219713934;0.081484149;0.427641772
BPI-113-CO1;0.843030918;0.912262443;-0.09137307;-0.09137307
BPI-114-CO1;1.119957016;1.189188541;1.97559033;1.97559033
BPI-115-CO1;1.258420065;1.119957016;0.584105166;0.912262443
BPI-116-CO1;-0.610831095;0.219947198;0.635336345;0.544804614
BPI-117-CO1;-0.541599571;0.773799394;0.913247288;0.843030918
BPI-118-CO1;0.219947198;0.70456787;1.122031469;1.119957016
BPI-119-CO1;0.472651257;0.219947198;0.472651257;0.219947198
BPI-120-CO1;0.607746904;0.289178723;0.219947198;0.607746904
BPI-121-CO1;-0.268498474;0.150715674;-0.195441949;-0.268498474
BPI-122-CO1;-0.538689768;0.012252625;-0.538689768;0.081484149
BPI-123-CO1;-0.631755658;-0.0569789;-0.195441949;-0.631755658
BPI-124-CO1;0.012252625;-0.472368046;0.219947198;-0.472368046
BPI-125-CO1;0.773799394;0.427641772;1.535346163;0.289178723
BPI-126-CO1;0.82727733;1.32765159;0.219947198;0.82727733
BPI-127-CO1;-0.101505243;0.496873296;-0.956988718;-0.101505243
BPI-128-CO1;0.346937252;0.289178723;-0.956988718;0.346937252
BPI-129-CO1;-0.32103567;0.635336345;-0.32103567;0.635336345
BPI-130-CO1;0.406979762;0.843030918;-0.541599571;0.406979762
BPI-131-CO1;1.097468625;0.012252625;0.219947198;1.097468625
BPI-132-CO1;0.864121598;-0.195441949;0.496873296;0.427641772
BPI-133-CO1;1.671625125;1.671625125;1.671625125;1.671625125
BPI-134-CO1;2.887485948;2.887485948;2.887485948;2.887485948
BPI-135-CO1;0.427641772;-0.126210424;-0.472368046;-0.634211942
BPI-136-CO1;0.800258201;0.800258201;0.150715674;-0.0569789
BPI-137-CO1;1.577808703;1.577808703;1.050725492;1.466114639
BPI-138-CO1;1.435207742;1.435207742;1.189188541;1.189188541
BPI-139-CO1;0.340933001;0.340933001;0.427641772;-0.749294144
BPI-140-CO1;0.012252625;0.081484149;0.427641772;-0.429112187
BPI-141-CO1;-0.0569789;0.081484149;0.081484149;-1.955692999
BPI-142-CO1;0.150715674;-0.778859807;0.496873296;-0.778859807
BPI-143-CO1;0.773799394;0.427641772;0.358410247;-0.126210424
BPI-144-CO1;1.119957016;1.050725492;0.499187902;0.499187902
BPI-145-CO1;-1.233914815;-0.956988718;-0.333904997;-2.181671172
BPI-146-CO1;-0.818525669;-0.020140819;-0.541599571;-0.264673473
BPI-147-CO1;-0.956988718;0.421990389;-0.126210424;-0.126210424
BPI-148-CO1;-0.928966081;-0.541599571;-0.610831095;-0.928966081
BPI-149-CO1;-0.126210424;-1.888145176;-1.888145176;-0.472368046
BPI-150-CO1;-0.0569789;-0.928966081;-0.928966081;0.012252625
BPI-151-CO1;0.124779966;0.150715674;-0.0569789;0.124779966
BPI-152-CO1;0.219346919;-0.0569789;0.219947198;0.219346919
BPI-153-CO1;-0.658774787;0.150715674;-0.658774787;0.012252625
BPI-154-CO1;-0.89519217;-0.89519217;-0.89519217;0.635336345
