Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S61985838,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235612,BPI-131-CO,5.5930983,-75.8497607,2019-11-20,06:38 AM,eBird - Stationary Count,11,1,,,2,,,Verdún
S61985845,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235612,BPI-131-CO,5.5930983,-75.8497607,2019-11-20,06:57 AM,eBird - Stationary Count,11,1,,,2,,,Verdún
S73612582,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10235612,BPI-131-CO,5.5930983,-75.8497607,2020-09-09,06:43 AM,eBird - Stationary Count,12,1,,,1,,,"CN 15,  db 47"
S92643034,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L10235612,BPI-131-CO,5.5930983,-75.8497607,2021-07-26,08:33 AM,eBird - Stationary Count,16,1,,,2
S93231236,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235610,BPI-132-CO,5.5901755,-75.8484129,2021-08-13,06:26 AM,eBird - Stationary Count,10,1,,,2,,,DB 53
S94271839,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10235610,BPI-132-CO,5.5901755,-75.8484129,2021-09-06,07:22 AM,eBird - Stationary Count,10,1,,,2,,,DB 52
S84140641,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235605,BPI-133-CO,5.5959071,-75.8424485,2021-03-26,06:48 AM,eBird - Stationary Count,10,1,,,1,,1,"CN 100, DB 51"
S73615005,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L10235599,BPI-134-CO,5.5970996,-75.840982,2020-08-25,06:18 AM,eBird - Stationary Count,11,1,,,2,,,"CN 56, DB 95"
S84112603,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235599,BPI-134-CO,5.5970996,-75.840982,2021-03-26,06:46 AM,eBird - Stationary Count,12,1,,,1,,,DB 52  CN 100
S60926226,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L10070584,BPI-136-CO,5.6123265,-75.8278111,2019-10-21,06:42 AM,eBird - Stationary Count,11,1,,,2
S60877514,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10070584,BPI-136-CO,5.6123265,-75.8278111,2019-10-21,08:09 AM,eBird - Stationary Count,11,1,,,2
S82143077,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10070575,BPI-137-CO,5.6144469,-75.8281299,2021-02-22,08:23 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 58"
S83812787,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10070575,BPI-137-CO,5.6144469,-75.8281299,2021-03-16,06:34 AM,eBird - Stationary Count,12,1,,,2,,,"CN 90, DB  54"
S65149877,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10120446,BPI-140-CO,5.6082059,-75.8194265,2020-02-26,06:31 AM,eBird - Stationary Count,10,1,,,2,,",S"
S73354961,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10120446,BPI-140-CO,5.6082059,-75.8194265,2020-09-08,07:19 AM,eBird - Stationary Count,13,1,,,2,,,"CN 40, DB 100"
S73354847,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10120446,BPI-140-CO,5.6082059,-75.8194265,2020-09-08,07:39 AM,eBird - Stationary Count,11,1,,,2,,,"CN 46, DB 100"
S83008446,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10120446,BPI-140-CO,5.6082059,-75.8194265,2021-03-08,08:45 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 49"
S93615756,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-08-21,07:25 AM,eBird - Stationary Count,10,1,,,2,,,DB 45
S93615810,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-08-21,08:11 AM,eBird - Stationary Count,10,1,,,2,,,DB 47
S61220989,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2019-11-06,07:41 AM,eBird - Stationary Count,10,1,,,2,,2
S84086219,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2021-03-25,08:17 AM,eBird - Stationary Count,12,1,,,1,,2,"CN 30, DB 51"
S93910028,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10949467,BPI-145-CO,5.6193511,-75.8443442,2021-08-29,07:19 AM,eBird - Stationary Count,10,1,,,2,,,DB 41
S60933037,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10077690,BPI-146-CO,5.6210143,-75.8364881,2019-10-26,07:09 AM,eBird - Stationary Count,10,1,,,2
S84324041,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235631,BPI-148-CO,5.6100931,-75.8727516,2021-03-29,06:52 AM,eBird - Stationary Count,13,1,,,1,,,DB 33  CN 70
S80796112,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10235626,BPI-149-CO,5.6117005,-75.8734341,2021-02-11,07:51 AM,eBird - Traveling Count,10,1,.098,,2,,,DB 31  CN 80
S94171712,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235626,BPI-149-CO,5.6117005,-75.8734341,2021-09-03,08:31 AM,eBird - Stationary Count,10,1,,,2,,,DB 39
S74113410,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235621,BPI-150-CO,5.6135353,-75.8739896,2020-09-27,07:11 AM,eBird - Stationary Count,11,1,,,1,AC Ave Cantando,,"Cn 100, db 27"
S74247637,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10235642,BPI-151-CO,5.613661,-75.8757661,2020-09-27,08:00 AM,eBird - Stationary Count,11,1,,,2,,,"CN 46, DB 95"
S93956069,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L15907977,Barrio Sesquicentenario,5.6018088,-75.8258176,2021-08-30,04:06 PM,eBird - Stationary Count,10,1,,,2
S94183340,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L16291543,Colegio Verdún,5.5949471,-75.8420462,2021-09-04,02:44 PM,eBird - Stationary Count,54,1,,,6
S59197440,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L9828031,Finca El Rosal,5.5990774,-75.855514,2019-08-23,09:54 AM,eBird - Traveling Count,48,1,.48,,3
S83204709,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L13995705,Finca La Fortuna,5.6028298,-75.83119,2021-03-11,10:46 AM,eBird - Stationary Count,12,1,,,2
S93402199,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L16142172,Finca La Oficina - Comedero,5.6044903,-75.8135739,2021-08-17,03:42 PM,eBird - Stationary Count,36,1,,,2
S94928653,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L16142172,Finca La Oficina - Comedero,5.6044903,-75.8135739,2021-09-18,04:47 PM,eBird - Traveling Count,15,1,.53,,2
S92959174,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L9696462,"Finca Monteser, Jardín, Antioquia, CO (5.598, -75.827)",5.5978189,-75.8269717,2021-08-07,03:28 PM,eBird - Stationary Count,14,1,,,2
S93773077,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L16067485,Hostal Ayahuasca,5.6001841,-75.8250323,2021-08-26,05:34 PM,eBird - Traveling Count,10,1,.49,,1
S80162571,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L13422513,Hostal el encanto,5.6065084,-75.8125122,2021-01-30,04:57 PM,eBird - Traveling Count,52,1,2.51,,1
S60749238,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L2719023,Jardin Cock-of-the-Rock Lek,5.59662,-75.82159,2019-10-19,11:46 AM,eBird - Traveling Count,47,1,1.41,,3
S60764294,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L10053861,La Herrera - Río,5.586858,-75.8119434,2019-10-19,05:14 PM,eBird - Traveling Count,48,1,2.79,,2
S94480091,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L16345976,La Herrera - Serranías,5.590526,-75.8190452,2021-09-06,05:15 PM,eBird - Traveling Count,25,1,.76,,4
S94272536,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L10073162,Puente De Verdún,5.5972334,-75.8352156,2021-09-05,03:02 PM,eBird - Traveling Count,24,1,1.05,,6
S65563490,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L9790372,Revolución Bananera,5.6037582,-75.8135814,2020-03-08,09:32 AM,eBird - Traveling Count,17,1,1.27,,2
S80541366,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L9790372,Revolución Bananera,5.6037582,-75.8135814,2021-02-06,04:09 PM,eBird - Traveling Count,15,1,.76,,2
S82528153,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L9790372,Revolución Bananera,5.6037582,-75.8135814,2021-02-28,03:25 PM,PROALAS - Transect,41,1,,,2
S82538474,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L9790372,Revolución Bananera,5.6037582,-75.8135814,2021-02-28,05:21 PM,PROALAS - Transect,27,1,,,2
S60761470,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,5,CO-ANT,,L5114753,Sendero La Herrera,5.5942143,-75.816232,2019-10-19,04:06 PM,eBird - Traveling Count,67,1,2.38,,2
S80549489,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L5114753,Sendero La Herrera,5.5942143,-75.816232,2021-02-06,04:38 PM,eBird - Traveling Count,26,1,1.13,,2
S80549447,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,3,CO-ANT,,L5114753,Sendero La Herrera,5.5942143,-75.816232,2021-02-06,05:26 PM,eBird - Traveling Count,29,1,1.13,,2
S94479958,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,4,CO-ANT,,L5114753,Sendero La Herrera,5.5942143,-75.816232,2021-09-06,03:31 PM,eBird - Traveling Count,39,1,.93,,5
S94480029,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,4,CO-ANT,,L5114753,Sendero La Herrera,5.5942143,-75.816232,2021-09-06,04:12 PM,eBird - Traveling Count,49,1,1.12,,4
S59217970,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,1,CO-ANT,,L9831595,Truchera La Linda,5.6112601,-75.8250864,2019-08-24,06:43 AM,eBird - Traveling Count,118,1,3.81,,2
S94272308,Rusty-margined Flycatcher,Myiozetetes cayanensis,16718,2,CO-ANT,,L16308606,Vía A Verdún,5.596508,-75.83746,2021-09-05,04:22 PM,eBird - Stationary Count,19,1,,,6
S65596347,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2020-03-06,08:06 AM,eBird - Stationary Count,13,1,,,2,,",S"
S92033765,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10040066,BPI-008-CO,5.6137892,-75.8447648,2021-07-20,06:10 AM,eBird - Stationary Count,11,1,,,2,,,DB 35
S58576049,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10040166,BPI-009-CO,5.6084592,-75.8450567,2019-07-25,08:15 AM,eBird - Stationary Count,10,1,,,2,,1,BPI017
S73951283,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9925820,BPI-028-CO,5.6044914,-75.8578564,2020-09-23,05:59 AM,eBird - Stationary Count,9,1,,,1,AC Ave Cantando,,"Cn 100, dB 28"
S95089022,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9925820,BPI-028-CO,5.6044914,-75.8578564,2021-09-24,08:04 AM,eBird - Stationary Count,10,1,,,2,,,DB 43
S73724311,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9827561,BPI-031-CO,5.5989097,-75.8538494,2020-09-17,07:04 AM,eBird - Stationary Count,15,1,,,2,,,"DB 50, DB 60"
S73699327,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9827561,BPI-031-CO,5.5989097,-75.8538494,2020-09-17,08:30 AM,eBird - Stationary Count,15,1,,,1,,,"Cn 30, dB 34"
S92742517,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9827480,BPI-035-CO,5.59656,-75.8573908,2021-08-04,06:29 AM,eBird - Stationary Count,11,1,,,2,,,DB 50
S73724222,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9854545,BPI-042-CO,5.6013412,-75.878152,2020-09-07,08:34 AM,eBird - Stationary Count,12,1,,,1,,,"CN 40, db 26"
S81741769,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9854498,BPI-044-CO,5.5983118,-75.87443,2021-02-10,06:37 AM,eBird - Stationary Count,11,1,,,2,,,"DB 40, CN 70"
S93865346,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9854498,BPI-044-CO,5.5983118,-75.87443,2021-08-27,08:23 AM,eBird - Stationary Count,14,1,,,2,,,DB 52
S83993998,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L14141170,BPI-047-CO,5.609081,-75.867227,2021-03-24,06:21 AM,eBird - Stationary Count,14,1,,,2,,Vocal,DB 38  CN 80
S59146091,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9824242,BPI-049-CO,5.6045061,-75.8320682,2019-08-21,05:47 AM,eBird - Stationary Count,11,1,,,2,,1
S94051879,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9992913,BPI-052-CO,5.588537,-75.8341073,2021-08-31,08:07 AM,eBird - Stationary Count,10,1,,,2,,,DB 47
S92642886,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9988027,BPI-053-CO,5.5871752,-75.8342686,2021-07-29,07:10 AM,eBird - Stationary Count,11,1,,,2,,,"DB, 55"
S80058233,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9992890,BPI-054-CO,5.5875,-75.8326233,2021-01-29,08:03 AM,eBird - Stationary Count,12,1,,,1,,,"CN 10, DB 47"
S84590383,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9992890,BPI-054-CO,5.5875,-75.8326233,2021-04-02,08:24 AM,eBird - Stationary Count,14,1,,,2,,,DB 44  CN 40
S93706564,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9992890,BPI-054-CO,5.5875,-75.8326233,2021-08-25,06:36 AM,eBird - Stationary Count,14,1,,,2,,,DB 45
S73726584,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9879164,BPI-067-CO,5.6045313,-75.8550407,2020-08-28,07:35 AM,eBird - Stationary Count,13,1,,,1,,,"CN 20, db 25"
S72329181,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10070668,BPI-068-CO,5.595065,-75.8718938,2020-08-10,06:32 AM,eBird - Stationary Count,10,1,,,1,,,"CN 65, db 42"
S72302880,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10070662,BPI-070-CO,5.5950171,-75.8671642,2020-08-10,06:15 AM,eBird - Stationary Count,10,1,,,2,AC Ave Cantando,,"CN 70, db 55"
S73724472,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10041509,BPI-074-CO,5.6124813,-75.8365606,2020-09-03,08:04 AM,eBird - Stationary Count,15,1,,,1,,,"CN 30, db 27"
S93768803,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10041509,BPI-074-CO,5.6124813,-75.8365606,2021-08-26,08:20 AM,eBird - Stationary Count,10,1,,,2,,,DB 45
S73614865,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10126658,BPI-078-CO,5.5859157,-75.8116886,2020-08-20,09:38 AM,eBird - Stationary Count,10,1,,,2,,,"CN 58, DB 60"
S93315952,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10126658,BPI-078-CO,5.5859157,-75.8116886,2021-08-16,07:03 AM,eBird - Stationary Count,10,1,,,2,,,DB 67
S72688391,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10004187,BPI-080-CO,5.5971227,-75.825209,2020-08-20,06:25 AM,eBird - Stationary Count,11,1,,,1,,,"CN 100, db 50"
S94408822,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10004187,BPI-080-CO,5.5971227,-75.825209,2021-09-09,06:15 AM,eBird - Stationary Count,10,1,,,2,,,DB 62
S81792560,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10077679,BPI-081-CO,5.6184933,-75.8345716,2021-02-17,06:32 AM,eBird - Traveling Count,13,1,.17,,2,,V,DB 32  CN 100
S84914590,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10077679,BPI-081-CO,5.6184933,-75.8345716,2021-04-06,07:24 AM,eBird - Traveling Count,15,1,.216,,2,,,DB 32  CN 100
S81793886,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10077686,BPI-082-CO,5.6158346,-75.8383672,2021-02-17,07:23 AM,eBird - Stationary Count,14,1,,,2,,V,DB 39  CN 100
S72468441,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9979111,BPI-085-CO,5.5912293,-75.8677986,2020-08-14,07:06 AM,eBird - Stationary Count,10,1,,,2,,,"CN 35, DB 70"
S72687399,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9984924,BPI-089-CO,5.5848779,-75.8636725,2020-08-17,08:59 AM,eBird - Stationary Count,12,1,,,1,,,"CN 100, db 54"
S94928544,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9984924,BPI-089-CO,5.5848779,-75.8636725,2021-09-19,08:39 AM,eBird - Stationary Count,10,1,,,2,,,DB 46
S65027794,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,4,CO-ANT,,L9984915,BPI-091-CO,5.5794201,-75.8638026,2020-02-22,07:00 AM,eBird - Stationary Count,10,1,,,2
S65027780,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9984922,BPI-092-CO,5.5796762,-75.8660031,2020-02-22,07:23 AM,eBird - Stationary Count,11,1,,,2
S73689808,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9921026,BPI-093-CO,5.5868085,-75.8606636,2020-09-15,08:18 AM,eBird - Stationary Count,12,1,,,2,,,"CN 53, DB 80"
S92498520,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9921026,BPI-093-CO,5.5868085,-75.8606636,2021-07-30,08:31 AM,eBird - Stationary Count,10,1,,,2,,,DB 38
S92660377,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9921026,BPI-093-CO,5.5868085,-75.8606636,2021-07-31,07:31 AM,eBird - Stationary Count,11,1,,,2,,,DB 46
S92497628,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9921020,BPI-094-CO,5.5848288,-75.8592502,2021-07-30,08:03 AM,eBird - Stationary Count,12,1,,,2,,Vocal,DB 49
S60435213,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L9921027,BPI-096-CO,5.5881309,-75.8600008,2019-10-03,06:19 AM,eBird - Stationary Count,12,1,,,2
S83831477,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10033959,BPI-100-CO,5.5772973,-75.8624951,2021-03-19,06:57 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 45"
S82213629,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10034295,BPI-102-CO,5.581472,-75.8625815,2021-02-23,09:23 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 37"
S94795981,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10034295,BPI-102-CO,5.581472,-75.8625815,2021-09-17,08:46 AM,eBird - Stationary Count,10,1,,,2,,,DB 36
S73724922,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10007358,BPI-107-CO,5.577721,-75.8523778,2020-09-01,06:59 AM,eBird - Stationary Count,10,1,,,1,,,"CN 45, db 54"
S60923224,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10077669,BPI-113-CO,5.5661728,-75.8067184,2019-10-23,08:21 AM,eBird - Stationary Count,10,1,,,2
S82670406,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L10077669,BPI-113-CO,5.5661728,-75.8067184,2021-03-03,08:01 AM,eBird - Stationary Count,10,1,,,2,,,"CN 100, DB 60"
S64502357,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10077673,BPI-114-CO,5.568532,-75.8073281,2020-02-14,08:04 AM,eBird - Stationary Count,10,1,,,2
S95039455,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10023244,BPI-123-CO,5.5796229,-75.8601758,2021-09-19,08:59 AM,eBird - Stationary Count,10,1,,,2,,,"DB, 46"
S73724423,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10070667,BPI-129-CO,5.5963856,-75.8701445,2020-09-07,06:04 AM,eBird - Stationary Count,10,1,,,1,,,"CN 80, db 45"
S73355125,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10070667,BPI-129-CO,5.5963856,-75.8701445,2020-09-07,06:52 AM,eBird - Stationary Count,14,1,,,2,,,"CN 40, DB 30"
S65375581,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10235612,BPI-131-CO,5.5930983,-75.8497607,2020-02-28,07:00 AM,eBird - Stationary Count,11,1,,,2
S93878444,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10070556,BPI-139-CO,5.6185878,-75.8295983,2021-08-29,06:33 AM,eBird - Stationary Count,11,1,,,2,,,DB 35
S83008632,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-03-08,09:10 AM,eBird - Stationary Count,11,1,,,2,,V,Db 37  CN 100
S93615756,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120381,BPI-141-CO,5.6095762,-75.8201307,2021-08-21,07:25 AM,eBird - Stationary Count,10,1,,,2,,,DB 45
S93615746,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2021-08-21,07:04 AM,eBird - Stationary Count,10,1,,,2,,,DB 48
S93872371,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120345,BPI-142-CO,5.610151,-75.8178879,2021-08-21,08:15 AM,eBird - Stationary Count,10,1,,,2
S73724102,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120323,BPI-143-CO,5.6092942,-75.8155342,2020-09-08,07:47 AM,eBird - Stationary Count,10,1,,,1,,,"CN 100, db 34"
S93615851,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10120323,BPI-143-CO,5.6092942,-75.8155342,2021-08-21,08:45 AM,eBird - Stationary Count,15,1,,,2,,,DB 51
S93880430,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10077504,BPI-147-CO,5.6190243,-75.8361338,2021-08-29,07:27 AM,eBird - Stationary Count,11,1,,,2,,,DB 44
S73726774,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10235626,BPI-149-CO,5.6117005,-75.8734341,2020-08-27,06:57 AM,eBird - Stationary Count,13,1,,,1,,,"CN 30, db 29"
S94171298,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10235641,BPI-152-CO,5.6120324,-75.8765381,2021-09-03,06:38 AM,eBird - Stationary Count,10,1,,,2,,,DB 49
S58430261,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10040060,Finca El Chocho,5.6128485,-75.8453608,2019-07-24,09:10 AM,eBird - Stationary Count,11,1,,,2,,,BPI016
S58576035,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L9696462,"Finca Monteser, Jardín, Antioquia, CO (5.598, -75.827)",5.5978189,-75.8269717,2019-07-26,06:43 AM,eBird - Stationary Count,11,1,,,2,,,BPI022
S61670126,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,2,CO-ANT,,L2381258,La Esperanza Bird Reserve,5.61086,-75.836667,2019-11-23,07:33 AM,eBird - Traveling Count,137,1,2.01,,3
S94480165,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,16755,1,CO-ANT,,L10073162,Puente De Verdún,5.5972334,-75.8352156,2021-09-07,05:05 PM,eBird - Traveling Count,17,1,.62,,4
S83812029,Streaked Flycatcher,Myiodynastes maculatus,16760,1,CO-ANT,,L10040022,BPI-007-CO,5.613126,-75.8459324,2021-03-18,08:29 AM,eBird - Stationary Count,12,1,,,2,,,"CN 70, DB 48"
S73615166,Streaked Flycatcher,Myiodynastes maculatus,16760,1,CO-ANT,,L10040171,BPI-011-CO,5.6024842,-75.8364852,2020-08-26,05:56 AM,eBird - Stationary Count,12,1,,,2,,,"CN 49, DB 90"
S64160266,Streaked Flycatcher,Myiodynastes maculatus,16760,2,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2020-01-23,07:17 AM,eBird - Stationary Count,11,1,,,2
S81740548,Streaked Flycatcher,Myiodynastes maculatus,16760,1,CO-ANT,,L10040281,BPI-014-CO,5.627754,-75.8595934,2021-02-15,07:42 AM,eBird - Stationary Count,11,1,,,2,,,"DB 35,CN 95"
